name,number,rate
Raffaello,8.3,149 értékelés
Pizza Hut Ferenc körút,8.7,155 értékelés
KFC Deák,8.3,130 értékelés
Art Pub,8.8,592 értékelés
Pizza King Gyömrői út,8.0,424 értékelés
Pizza King Csepel,8.2,645 értékelés
Jamie Oliver's Pizzeria Gozsdu,8.6,95 értékelés
Spíler Bistro Pub,7.6,17 értékelés
Spíler Shanghai,7.1,7 értékelés
Don Pepe - Budafoki út,9.2,731 értékelés
Wasabi wok és sushi étterem - Podmaniczky,8.8,362 értékelés
Pizza King Belváros,7.7,741 értékelés
Trófea Grill Étterem,9.2,379 értékelés
Pizza Rakéta,9.4,426 értékelés
Attaboy! Burger and Pizza,9.4,432 értékelés
Don Pepe - Újhegyi sétány,8.6,459 értékelés
La Corte Étterem,8.5,143 értékelés
Don Pepe - Kálmán Imre utca,9.0,749 értékelés
All About Street Food,8.9,171 értékelés
Fabito pizzéria,9.1,23 értékelés
Sercegő Serpenyő Bistro,8.1,127 értékelés
Planet Sushi Allee,9.5,62 értékelés
Pizza Hut Üllői út,9.3,85 értékelés
Il Terzo Cerchio Étterem Pizzéria,9.7,29 értékelés
Boczkó Étterem és Pizzéria,9.1,184 értékelés
Jack Gyros Prémium,8.3,309 értékelés
Ararát Kebap,8.4,134 értékelés
Star Kebab Török Étterem-éjszakai,8.6,164 értékelés
Yummy Wok,9.1,53 értékelés
Pizza EATaliano - Pest,9.1,56 értékelés
Street Bistro Budapest,9.3,60 értékelés
TGI Fridays Oktogon,8.2,60 értékelés
Trattoria Za-Za,9.1,75 értékelés
Italpincér - Italházhozszállítás,9.0,86 értékelés
Pipifutár,8.4,286 értékelés
Tölcsibe,10.0,42 értékelés
Döner Kebab Express - IX.kerület,8.5,46 értékelés
Old Blond,8.8,48 értékelés
Pizza & Beer,10.0,4 értékelés
Ukrán Udvar Étterem,10.0,1 értékelés
El Bigote (Király utca),10.0,1 értékelés
Rockburger BÁR,10.0,21 értékelés
P10 Retro Vendéglő,8.8,72 értékelés
Kaja-Műhely,8.3,253 értékelés
Trattoria Toscana,8.8,16 értékelés
NachosExpress Moziélmény Házhoz,8.9,46 értékelés
Shiraz Étterem,8.6,7 értékelés
Coco Jumbo Pizzéria,8.3,109 értékelés
Duo Ételbár Pizzéria,8.4,294 értékelés
"Alkoholfutár - Ital rendelés, házhoz",9.5,20 értékelés
Leroy Express,9.0,134 értékelés
Bangla Büfé Premium,8.7,71 értékelés
Titiz Török Étterem,9.0,21 értékelés
Chili's Burger,7.9,29 értékelés
S.O.S. Night - Italházhozszállítás,8.1,27 értékelés
Mackó Lackó Bár & Bisztró,8.4,19 értékelés
Jack Jack Burger and Gyros,7.9,564 értékelés
Pizza Chef,8.2,246 értékelés
Amici Miei,7.1,7 értékelés
Dönermix Török Étterem,8.5,20 értékelés
Il buco Pizza & Pasta,8.2,11 értékelés
Salaam Bombay Étterem,8.0,5 értékelés
20 Perc Pizza Expressz,7.9,56 értékelés
Grand Re Pizza,10.0,2 értékelés
SMITH Burger & More,6.7,3 értékelés
Pizza Escobar,7.4,88 értékelés
Pizza Flash,7.7,47 értékelés
Wasabi Extra,7.9,24 értékelés
Marcello Ristorante & Pizzeria,7.8,18 értékelés
Burger Café and Food,7.7,96 értékelés
Ray's Bistro & Bar,5.0,2 értékelés
El Rapido Kazinczy,6.3,8 értékelés
Belli Di Mamma,3.3,3 értékelés
Virág Dealer Múzeum krt.,,
Wödör Bár,,
Betyár Pizzéria,9.0,346 értékelés
Belvárosi Legenda,,
Pizza Mester,9.4,333 értékelés
Travelers Bistro,,
Facedrinks - A piafutár,8.5,13 értékelés
Yes Pizza,9.5,246 értékelés
Allstar Pizza-éjszakai,9.0,78 értékelés
Shalimar Indiai Étterem,9.0,10 értékelés
15 Perc Pizza Expressz,7.7,146 értékelés
Home Bistro,8.1,57 értékelés
Pink Cadillac,7.7,43 értékelés
Indigo - Pest,7.7,64 értékelés
Pizza 33 Pizzéria,7.6,63 értékelés
Atlasz Étterem,7.5,60 értékelés
Pörkölő,7.7,109 értékelés
Burgerland,7.6,113 értékelés
Joe Háza Étterem - Pizzéria,7.3,127 értékelés
Partyhordó - Italházhozszállítás,7.3,22 értékelés
Ételfutár NO.1,6.4,56 értékelés
Don Pepe - Csepel,8.7,335 értékelés
Il Treno - Lurdy,8.2,104 értékelés
Il Treno Múzeum,8.9,115 értékelés
Little Geisha Can Cook,8.8,103 értékelés
KFC Soroksári,7.8,110 értékelés
Burgerilla,8.6,405 értékelés
Nagyi Palacsintázója - Szent István,,
Anjuna Ice Pop,,
Pizza Caffe Donna,,
Bécsiszelet Vendéglő (Üllői út),9.1,162 értékelés
Wokzilla sushi & wok bár,9.1,153 értékelés
Firpo Burger,8.9,230 értékelés
Trófea Grill Étterem Újbuda,9.0,111 értékelés
Mercetti - az olasz konyha szerelmese,9.8,193 értékelés
10 Minutes Bistro and Cafe,9.1,119 értékelés
Vapiano Belváros,8.3,163 értékelés
Parázs Thai Étterem,9.6,150 értékelés
Konyha - Fitness Grill,9.7,64 értékelés
Dolce Vita Pizza,9.6,57 értékelés
Delhi Darbar Indiai Étterem,9.5,42 értékelés
Hummus Point,9.0,216 értékelés
Bécsiszelet Vendéglő (Király u.),8.4,159 értékelés
Nori Sushi Bar & Lounge,9.2,103 értékelés
Kashmir Restaurant,9.0,118 értékelés
Buddies Burger,9.9,75 értékelés
Legelő Salátabár,8.3,69 értékelés
Manga Express,9.4,72 értékelés
A Presto,9.4,124 értékelés
Pizza Mágus,9.6,182 értékelés
Marie Kristensen Sandwich Bár,9.8,48 értékelés
KFC Köki,8.7,109 értékelés
Mester Gyros,9.6,24 értékelés
Hanoi Xua,9.3,30 értékelés
Tandoori Indiai Étterem,9.0,82 értékelés
Sehi Étterem,10.0,8 értékelés
Indian Curry Express,10.0,6 értékelés
Freshland Lurdy Ház,8.3,23 értékelés
Haspók Étterem,8.9,176 értékelés
Darband Perzsa Étterem,8.7,23 értékelés
Haveli Indiai Étterem,8.8,43 értékelés
Sakana & Sakura Restaurant,10.0,4 értékelés
Buono Bistro - Köki,10.0,8 értékelés
Thai Wok,9.4,49 értékelés
Mamacita,8.9,9 értékelés
Nordsee Aréna,10.0,16 értékelés
Parázs - Varázs Grill Faszenes Étterem,8.9,46 értékelés
Indian Accent,9.1,11 értékelés
BioTech USA futár,10.0,7 értékelés
Kitsune Japán Étterem és Kávézó,10.0,7 értékelés
Konfit,10.0,3 értékelés
Belfrit Köki,9.5,21 értékelés
Ígykerek,10.0,1 értékelés
Bánh Mi Vietnamese Sandwich,9.6,28 értékelés
Lángos Mánia - XIX.,10.0,9 értékelés
Che Che Nemburger,10.0,6 értékelés
Pappa Roti Café,10.0,1 értékelés
Prime Protein Táplálékkiegészítő,10.0,3 értékelés
Hachapuri Grúz Étterem,10.0,12 értékelés
Ferbelt Dog Food - kutyaétel,10.0,4 értékelés
Fröccsterasz Télikert,10.0,1 értékelés
Chilli Village,10.0,5 értékelés
